,metric,measure,units,heat,volt,nice
0,Create/teardown of 100 threads,521.919727,us / thread,41.2,1.3500,so nice
1,Create/teardown of 100 threads,516.53862,us / thread,42.2,1.3500,so nice
2,Create/teardown of 100 threads,517.9095269999999,us / thread,42.8,1.3500,so nice
3,Create/teardown of 100 threads,520.131588,us / thread,43.3,1.3500,so nice
4,Create/teardown of 100 threads,517.559052,us / thread,43.3,1.3500,so nice
5,Create/teardown of 100 threads,524.51849,us / thread,43.3,1.3500,so nice
6,Create/teardown of 100 threads,520.241261,us / thread,44.4,1.3500,so nice
7,Create/teardown of 100 threads,516.7818070000001,us / thread,44.4,1.3500,so nice
8,Create/teardown of 100 threads,521.199703,us / thread,44.4,1.3500,so nice
9,Create/teardown of 100 threads,524.499416,us / thread,44.4,1.3500,so nice
10,Create/teardown of 100 threads,517.7497860000001,us / thread,44.4,1.3500,so nice
11,Create/teardown of 100 threads,523.228645,us / thread,44.4,1.3500,so nice
12,Create/teardown of 100 threads,518.269539,us / thread,45.5,1.3500,so nice
13,Create/teardown of 100 threads,520.031452,us / thread,45.5,1.3500,so nice
14,Create/teardown of 100 threads,522.00079,us / thread,44.9,1.3500,so nice
15,Create/teardown of 100 threads,521.299839,us / thread,45.5,1.3500,so nice
16,Create/teardown of 100 threads,522.658825,us / thread,45.5,1.3500,so nice
17,Create/teardown of 100 threads,525.019169,us / thread,45.5,1.3500,so nice
18,Create/teardown of 100 threads,524.778366,us / thread,46.0,1.3500,so nice
19,Create/teardown of 100 threads,520.889759,us / thread,46.0,1.3500,so nice
20,Create/teardown of 100 threads,524.0201950000001,us / thread,45.5,1.3500,so nice
21,Create/teardown of 100 threads,522.499084,us / thread,46.5,1.3500,so nice
22,Create/teardown of 100 threads,521.991253,us / thread,46.5,1.3500,so nice
23,Create/teardown of 100 threads,525.710583,us / thread,46.5,1.3500,so nice
24,Create/teardown of 100 threads,525.898933,us / thread,46.5,1.3500,so nice
25,Create/teardown of 100 threads,525.1097679999999,us / thread,46.5,1.3500,so nice
26,Create/teardown of 100 threads,525.3601070000001,us / thread,46.5,1.3500,so nice
27,Create/teardown of 100 threads,524.189472,us / thread,46.5,1.3500,so nice
28,Create/teardown of 100 threads,526.4997480000001,us / thread,46.5,1.3500,so nice
29,Create/teardown of 100 threads,520.961285,us / thread,46.5,1.3500,so nice
30,Create/teardown of 100 processes,2040.479183,us / process,47.1,1.3500,so nice
31,Create/teardown of 100 processes,1945.7316399999997,us / process,46.5,1.3500,so nice
32,Create/teardown of 100 processes,2063.550949,us / process,46.5,1.3500,so nice
33,Create/teardown of 100 processes,2043.030262,us / process,46.5,1.3500,so nice
34,Create/teardown of 100 processes,2073.631287,us / process,46.5,1.3500,so nice
35,Create/teardown of 100 processes,2081.758976,us / process,47.1,1.3500,so nice
36,Create/teardown of 100 processes,2036.5309719999998,us / process,47.1,1.3500,so nice
37,Create/teardown of 100 processes,2023.139,us / process,47.6,1.3500,so nice
38,Create/teardown of 100 processes,2069.990635,us / process,47.1,1.3500,so nice
39,Create/teardown of 100 processes,1939.148903,us / process,47.1,1.3500,so nice
40,Create/teardown of 100 processes,2054.409981,us / process,47.1,1.3500,so nice
41,Create/teardown of 100 processes,2040.7199859999998,us / process,47.6,1.3500,so nice
42,Create/teardown of 100 processes,2036.230564,us / process,47.6,1.3500,so nice
43,Create/teardown of 100 processes,2069.990635,us / process,47.1,1.3500,so nice
44,Create/teardown of 100 processes,2068.3383940000003,us / process,47.1,1.3500,so nice
45,Create/teardown of 100 processes,2053.458691,us / process,47.6,1.3500,so nice
46,Create/teardown of 100 processes,2060.101032,us / process,47.6,1.3500,so nice
47,Create/teardown of 100 processes,2045.440674,us / process,47.6,1.3500,so nice
48,Create/teardown of 100 processes,2056.319714,us / process,47.6,1.3500,so nice
49,Create/teardown of 100 processes,2057.0182800000002,us / process,47.6,1.3500,so nice
50,Create/teardown of 100 processes,2035.1815219999999,us / process,47.6,1.3500,so nice
51,Create/teardown of 100 processes,2054.669857,us / process,47.6,1.3500,so nice
52,Create/teardown of 100 processes,1950.70982,us / process,47.6,1.3500,so nice
53,Create/teardown of 100 processes,2098.169327,us / process,47.6,1.3500,so nice
54,Create/teardown of 100 processes,2049.939632,us / process,47.6,1.3500,so nice
55,Create/teardown of 100 processes,2046.6303829999997,us / process,47.6,1.3500,so nice
56,Create/teardown of 100 processes,2046.961784,us / process,48.2,1.3500,so nice
57,Create/teardown of 100 processes,2057.39975,us / process,48.2,1.3500,so nice
58,Create/teardown of 100 processes,2041.070461,us / process,48.2,1.3500,so nice
59,Create/teardown of 100 processes,2049.031258,us / process,47.6,1.3500,so nice
60,Launch 100 programs,6644.999981,us / program,48.2,1.3500,so nice
61,Launch 100 programs,6724.591254999999,us / program,47.6,1.3500,so nice
62,Launch 100 programs,6842.970848000001,us / program,47.6,1.3500,so nice
63,Launch 100 programs,6585.960388,us / program,47.6,1.3500,so nice
64,Launch 100 programs,6714.48946,us / program,48.2,1.3500,so nice
65,Launch 100 programs,6670.639515,us / program,47.6,1.3500,so nice
66,Launch 100 programs,6865.720748999999,us / program,47.6,1.3500,so nice
67,Launch 100 programs,6833.729744,us / program,48.2,1.3500,so nice
68,Launch 100 programs,6719.989777,us / program,48.7,1.3500,so nice
69,Launch 100 programs,6736.190318999999,us / program,47.6,1.3500,so nice
70,Launch 100 programs,6714.019775,us / program,47.6,1.3500,so nice
71,Launch 100 programs,6625.740528,us / program,48.7,1.3500,so nice
72,Launch 100 programs,6705.439090999999,us / program,48.2,1.3500,so nice
73,Launch 100 programs,6774.890423000001,us / program,48.7,1.3500,so nice
