,metric,measure,units,heat,volt,nice
0,Create/teardown of 100 threads,466.630459,us / thread,35.8,1.3500,so nice
1,Create/teardown of 100 threads,469.61069100000003,us / thread,35.8,1.3500,so nice
2,Create/teardown of 100 threads,475.871563,us / thread,36.9,1.3500,so nice
3,Create/teardown of 100 threads,471.25816299999997,us / thread,37.4,1.3500,so nice
4,Create/teardown of 100 threads,475.93116799999996,us / thread,37.9,1.3500,so nice
5,Create/teardown of 100 threads,474.829674,us / thread,37.9,1.3500,so nice
6,Create/teardown of 100 threads,471.739769,us / thread,37.9,1.3500,so nice
7,Create/teardown of 100 threads,470.32833099999993,us / thread,38.5,1.3500,so nice
8,Create/teardown of 100 threads,472.519398,us / thread,39.0,1.3500,so nice
9,Create/teardown of 100 threads,472.57900199999995,us / thread,39.0,1.3500,so nice
10,Create/teardown of 100 threads,474.119186,us / thread,39.0,1.3500,so nice
11,Create/teardown of 100 threads,470.90053600000005,us / thread,39.5,1.3500,so nice
12,Create/teardown of 100 threads,471.410751,us / thread,39.5,1.3500,so nice
13,Create/teardown of 100 threads,474.87974199999996,us / thread,40.1,1.3500,so nice
14,Create/teardown of 100 threads,471.59910199999996,us / thread,39.5,1.3500,so nice
15,Create/teardown of 100 threads,474.62940199999997,us / thread,40.1,1.3500,so nice
16,Create/teardown of 100 threads,474.00951399999997,us / thread,40.1,1.3500,so nice
17,Create/teardown of 100 threads,475.242138,us / thread,41.2,1.3500,so nice
18,Create/teardown of 100 threads,473.99044000000004,us / thread,40.1,1.3500,so nice
19,Create/teardown of 100 threads,472.50032400000003,us / thread,40.6,1.3500,so nice
20,Create/teardown of 100 threads,470.53098700000004,us / thread,40.6,1.3500,so nice
21,Create/teardown of 100 threads,473.09160199999997,us / thread,40.1,1.3500,so nice
22,Create/teardown of 100 threads,468.361378,us / thread,40.6,1.3500,so nice
23,Create/teardown of 100 threads,474.84874699999995,us / thread,40.6,1.3500,so nice
24,Create/teardown of 100 threads,480.21078099999994,us / thread,40.6,1.3500,so nice
25,Create/teardown of 100 threads,472.36919400000005,us / thread,41.2,1.3500,so nice
26,Create/teardown of 100 threads,472.271442,us / thread,40.6,1.3500,so nice
